Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Konstan Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,9171.34,9472.27,9511.76,9612.7,37768.08,2495.73,2157.36,2983.94,2770.72,10407.74,1528.6,1616.03,1645.25,1422.21,6212.09,53.03,54.67,53.64,55.56,216.91,11.82,12.4,13.65,13.51,51.38,3322.98,3211.14,3534.36,3768.59,13837.07,4500.43,5178.14,4964.21,5408.37,20051.15,2116.63,1927.09,2079.93,2310.45,8434.1,358.89,344.35,350.16,496.7,1550.1,1338.93,1332.77,1449.05,1459.55,5580.29,568.69,553.76,583.63,530.24,2236.32,1374.22,1369,1526.23,1397.2,5666.65,199.36,194.52,225.49,223.62,842.99,2621.04,3299.62,2977.44,3292.09,12190.19,880.36,841.53,878.53,1096.05,3696.48,1069.89,1094.02,1156.82,1254.61,4575.35,481.69,444.03,474.42,557.01,1957.15,32093.64,33102.7,34408.51,35669.19,135274.04
Sumatera Utara,34576.43,35191.92,36142.53,35690.31,141601.18,1730.38,1741.55,1791.72,1805.45,7069.09,24307.33,24347.92,24676.32,24596.43,97928,189.56,192.72,200.3,206.34,788.92,136.68,138.33,140.34,139.82,555.17,16546.32,16802.79,17342.16,17609.23,68300.49,23860.8,24507.76,25128.54,25062.97,98560.07,5322.82,5402.02,5365.46,5586.06,21676.36,2906.91,2970.88,2973.65,3037.51,11888.96,4195.97,4290.38,4395.63,4504.2,17386.19,3940.24,3972.63,4129.07,3976,16017.94,5824.43,5905.39,5986.89,6011.43,23728.14,1142.02,1173.42,1188.91,1206.75,4711.1,4333.42,4696.99,4469.19,4674.77,18174.36,2776.65,2856.62,2881.18,2915.47,11429.92,1207.65,1238.69,1308.93,1336.81,5092.08,669.66,684.46,689.12,700.62,2743.87,133667.27,136114.47,138809.92,139060.16,547651.82
Sumatera Barat,9550.06,9447.14,9906.51,9917,38820.71,1739.29,1663.08,1694.2,1807.98,6904.55,4024.26,3866.56,4383.88,4353.67,16628.37,41.45,41.79,45.16,46.98,175.37,44.06,42.82,45.2,45.48,177.56,4036.25,3852.34,4043.42,4268.24,16200.24,7035.11,7111.52,7282.32,7527.99,28956.93,4471.64,4536.91,4410.81,4578.85,17998.21,435.14,426.06,412.58,486.01,1759.79,3647.87,3780.11,3725.84,3706.3,14860.13,1308.02,1312.69,1330,1294.2,5244.91,824.65,863.47,886.46,895.9,3470.47,182.02,182.8,188.8,191.42,745.04,2364.29,2637.21,2276.25,2562.7,9840.45,1823.76,1824.31,1823.91,1896.62,7368.59,679.1,688.69,748.4,748.17,2864.36,753.87,721.08,722.96,786.31,2984.22,42960.83,42998.55,43926.71,45113.79,174999.89
Riau,34832.61,34087.59,36994.38,34803.15,140717.74,19676.13,19102.14,19201.9,19707.62,77687.8,40106.18,39476.4,41641.08,41213.26,162436.92,90.09,93.3,100.39,101.76,385.54,17.23,17.57,17.72,17.74,70.26,9943.9,10464.61,10844.35,11377.46,42630.31,10466.94,11310.54,11667.86,13408.56,46853.9,803.34,834.39,794.85,915.4,3347.98,526.35,488.4,504.33,643.09,2162.17,1398.11,1436.98,1469.6,1400.21,5704.89,1254.61,1276.97,1243.46,1253.1,5028.14,1107.74,1198.34,1240.78,1293.98,4840.83,5.63,4.63,5.37,7.3,22.94,1798.56,2399.16,2009.26,2167.84,8374.82,584.4,684.82,692.95,710.08,2672.26,293.04,323.96,376.89,325.06,1318.96,571.5,445.94,500.2,698.8,2216.45,123476.37,123645.75,129305.36,130044.42,506471.91
Jambi,10074.42,10434.78,10561.52,10138.42,41209.13,8281.85,8642.31,9613.88,9192.18,35730.22,3810.02,3984.82,4019.75,3912.76,15727.35,20.85,21.32,22,22.72,86.89,50.54,53.54,53.94,55.06,213.08,3042.69,2853.7,2899.32,3229.3,12025.01,3515.98,3779.93,3887.17,3866.5,15049.58,1025.04,1074.86,1131.79,1205.79,4437.48,397.63,413.17,397.2,453.44,1661.43,1529.13,1587.54,1603,1615.33,6335,912.29,924.27,940.95,896.77,3674.27,552.61,553.47,574.84,601,2281.92,361.18,376.72,389.04,413.36,1540.3,1110.04,1423.46,1105.57,1290.24,4929.3,1255.42,1363.82,1228.85,1368.44,5216.53,478.41,507.3,607.47,618.62,2211.8,366.24,386.43,378.8,389.86,1521.33,36784.34,38381.43,39415.09,39269.77,153850.63
Sumatera Selatan,13467.54,14066.68,14544.13,12756.17,54834.53,16281.06,18032.93,19083.82,18673.89,72071.69,15016.66,15057.05,15180.75,15316.96,60571.42,102.46,103.51,106.04,105.83,417.84,90.85,90.83,90.77,90.76,363.22,9053.37,9034.18,9267.27,9316.84,36671.66,8462.36,8595.37,8837.23,9140.27,35035.24,1447.3,1483.96,1479.31,1561.47,5972.04,1095.96,1124.59,1112.79,1223.4,4556.74,3158.92,3195.25,3269.69,3327.9,12951.75,1965.8,1967.8,1970.35,1886.94,7790.89,2643.47,2675.46,2722.28,2766.65,10807.86,90.21,88.98,90.1,91.01,360.3,2293.42,2774.09,2574.08,2618.87,10260.46,2020.13,2220.33,2169.48,2203.76,8613.7,547.94,601.81,624.13,626.26,2400.14,656.49,680.71,680.53,708,2725.73,78393.93,81793.51,83802.77,82414.97,326405.18
Bengkulu,3244.78,3359.49,3253.47,3251.98,13109.72,378.98,395.38,431.09,428.95,1634.4,684.49,702.96,712.82,677.36,2777.63,13.1,13.25,13.28,13.5,53.14,25.11,25.08,26.35,25.41,101.94,558.55,539.81,572.6,578.26,2249.22,1761.28,1932.86,1902.57,1970.74,7567.45,937.17,952.35,847.04,1002.24,3738.8,201.9,209.7,200.9,203.72,816.22,564.05,603.11,609.65,616.71,2393.52,429.61,433.01,434.17,424,1720.79,503.79,514.23,516.81,533.4,2068.23,243.81,249.63,249,273,1015.44,1003.06,1141.25,1064.19,1080.07,4288.56,733.4,763.85,755.5,735.64,2988.39,218.35,226.4,241.07,253.03,938.86,93.57,101.53,96.21,100.17,391.48,11594.99,12163.88,11926.74,12168.17,47853.78
