Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Berlaku Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,,2023,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,16198.41,16984.18,16881.45,19692.82,69756.85,4088.84,4073.74,4613.78,4173.74,16950.1,2514.81,2724.86,2799.89,2942.31,10981.87,60.76,66.99,66.96,66.33,261.04,23.69,24.13,25.56,26.31,99.69,4639.62,4632.64,5113.87,5938.32,20324.45,8439.59,8229.37,8412.31,9348.02,34429.29,3422.86,3675,3625.27,3576.93,14300.06,946.39,990.62,1008.63,1064.78,4010.42,1638.21,1651.79,1643.3,1660.59,6593.88,992.06,652.33,647.48,988.93,3280.79,2071.39,2077.24,2272.53,2140.72,8561.88,344.53,331.6,347.22,356.2,1379.54,4287.47,5195.64,5070.68,5312.73,19866.52,1471.42,1559.61,1477.15,1439.74,5947.93,1655.32,1768.74,1858.53,1707.71,6990.29,788.42,849.63,874.51,771.15,3283.7,53583.79,55488.1,56739.12,61207.29,227018.29
Sumatera Utara,58976.5,60563.38,62659.48,63572.44,245771.81,2984.88,3029.93,3106.81,3168.36,12289.98,47342.57,48770.65,49647.13,49452.72,195213.07,266.25,274.9,278.21,278.48,1097.83,227.72,229.87,237.54,239.99,935.12,33311.83,33659.47,35178.37,36693.06,138842.73,47742.25,49337.84,51684.62,52200.39,200965.11,12330.59,13087.26,13562.7,14199.56,53180.11,5162.67,5437.9,5673.65,5899.7,22173.92,5818.09,5968.15,6117.51,6266.17,24169.92,7479.22,7475.93,7742.5,7582.03,30279.69,12163.44,12319.16,12273.81,12225.38,48981.79,2751.22,2804.27,2769.69,2831.87,11157.06,7303.24,8845.79,7543.25,7848.41,31540.69,4356.78,4583.7,4722.74,4754.81,18418.03,2306.32,2458.79,2540.68,2591.14,9896.93,1425.93,1516.1,1558.73,1580.87,6081.62,251949.51,260363.09,267297.41,271385.4,1050995.41
Sumatera Barat,15954.47,16011.55,16240.82,17593.75,65800.58,3130.27,3127.58,3237.86,3259.74,12755.44,6413.73,6339.15,6837.48,6710.12,26300.49,71.14,71.34,72.71,73.48,288.67,65.42,70,68.14,68.8,272.35,7661.08,7662.39,7948.95,8485.94,31758.36,12600.22,12707.32,13207.09,13186.39,51701.02,8556.78,9118.23,8870.33,8805.15,35350.5,1046.07,1082.98,1066.87,1091.42,4287.34,5110.17,5234.48,5326.69,5335.29,21006.63,2421.1,2386.95,2414.62,2405.16,9627.82,1570.49,1571.8,1662.47,1687.77,6492.54,333.94,334.32,347.98,350.22,1366.46,4898.95,5474.3,4576.17,4945.96,19895.38,3424.95,3508.55,3496.07,3576.02,14005.59,1270.42,1268.8,1368.89,1399.86,5307.97,1597.85,1792.23,1583.87,1619.93,6593.88,76127.05,77761.96,78327.02,80595,312811.02
Riau,65474.26,65186.81,70532.66,68744.31,269938.04,51967.38,47469.8,52319.8,51250.69,203007.68,70550.92,68921.44,71165.09,72151.6,282789.05,185.47,201.05,225.17,218.32,830,24.74,24.91,26.3,26.53,102.47,23370.75,23442.66,26160.58,26441.72,99415.7,24647.92,27883.55,24782.45,27990.4,105304.32,1815.5,2290.9,2116.6,2321.1,8544.1,1149.97,1176.67,1142.74,1354.13,4823.51,1931.43,2031.42,2094.68,2135.19,8192.72,2449.8,2363.73,2392.38,2486.55,9692.46,1971.83,2036.05,2220.17,2303.3,8531.36,11.84,12.07,10.77,12.51,47.18,2894.12,3668.25,3074.76,3586.58,13223.71,1129.33,1254.3,1329.89,1363.53,5077.05,598.94,607.07,664.99,643.01,2514.01,1131.76,1147.24,971.04,1188.65,4438.68,251305.95,249717.9,261230.07,264218.12,1026472.05
Jambi,21748.8,23347.52,24368.55,24030.91,93495.78,13041.46,10828.26,11300.17,9919.08,45088.98,6804.37,7196.17,7690.97,7655.28,29346.79,49.89,55.46,57.29,58.07,220.7,92.68,96.86,98.15,93.95,381.64,5083.4,5178.48,5563.09,5827.28,21652.24,9018.9,9667.49,9834.28,10525.63,39046.31,2138.49,2285.59,2392.35,2596.4,9412.83,752.09,777.03,816.1,844.45,3189.68,2606.66,2729.88,2733.36,2843.23,10913.12,1670.7,1686.11,1675.94,1637.21,6669.96,1074.58,1076.88,1091.77,1124.52,4367.76,947.38,1120.7,1132.26,1165.51,4365.85,2057.47,3031.2,2302.36,2949.88,10340.91,1989.73,2398.19,2202.17,2446.69,9036.78,773.38,873.56,929.3,977.27,3553.51,622.3,728.86,703.85,729.71,2784.73,70472.28,73078.24,74891.96,75425.09,293867.57
Sumatera Selatan,20239.33,21005.55,21732.22,19422.71,82399.82,38943.17,43293.21,45303.66,39901.28,167441.31,27215.55,27870.65,28348.89,29239.23,112674.32,187.88,198,204.34,209.41,799.62,150.48,150.99,152.54,159.14,613.14,16436.7,16398.14,16801.95,17642.03,67278.81,20285.13,20717.63,21408.34,21834.36,84245.46,3613.35,3899.97,3902.71,4073.35,15489.39,2780.13,3019.05,3032.47,3212.89,12044.55,4525.43,4517.28,4515.92,4698.52,18257.14,3163.92,3209.31,3298.33,3357,13028.56,4463.33,4466.81,4510.65,4631.75,18072.53,169.77,170.97,175.38,182.4,698.52,3403.93,4205.45,3751.28,3855.67,15216.34,2963.93,3185.37,3187.55,3409.5,12746.35,919.35,935.05,969,975.89,3799.28,1055.11,1053.85,1078.46,1176.1,4363.52,150516.49,158297.28,162373.7,157981.21,629168.67
Bengkulu,6577.13,6741.87,6829.57,7139.37,27287.94,1580.42,1324.81,1243.12,1368.84,5517.2,1172.05,1306.05,1349.59,1316.24,5143.93,23.51,24.97,25.2,25.13,98.82,41.37,43.39,41.49,41.59,167.84,1148.62,1162.22,1214.87,1251.95,4777.66,3187.66,3431.26,3421.9,3576.52,13617.34,2345.99,2611.54,2128.93,2698.11,9784.57,393.65,426.9,431.75,435.65,1687.95,891.72,942.98,930.47,945.64,3710.82,703.07,694.32,704.75,683.66,2785.8,791.96,797.95,815.74,827.2,3232.85,524.44,530.66,544.76,563.19,2163.05,1844.68,2323.13,2010.61,2070.58,8248.99,1220.21,1413.08,1459.86,1490.2,5583.35,444.68,478.44,488.65,500.01,1911.79,195.4,218.18,220.12,229.55,863.26,23086.56,24471.77,23861.37,25163.45,96583.15
