,Kode,Produk,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1800,3011,3012,3020,3030,3040,3050,3060,3090,3100,4011,4012,4013,4019,5011,5012,5013,5019,6090,7000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Pertanian, Kehutanan, dan Perikanan",Pertambangan dan Penggalian,Industri Pengolahan,Pengadaan Listrik dan Gas,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",Konstruksi,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,Transportasi dan Pergudangan,Penyediaan Akomodasi dan Makan Minum,Informasi dan Komunikasi,Jasa Keuangan dan Asuransi,Real Estate,Jasa Perusahaan,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",Jasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial,Jasa lainnya,Total Permintaan Antara,Konsumsi Rumah Tangga,Konsumsi LNPRT,Konsumsi Pemerintah,Pembentukan Modal Tetap Bruto,Perubahan Inventori,Ekspor Barang (F.o.b),Ekspor Jasa,Total Permintaan Akhir,Total Permintaan,Impor Barang (c.i.f),Impor Jasa,Adjustment (i.f),Total Impor,Marjin Perdagangan Besar,Marjin Perdagangan Eceran,Biaya Pengangkutan,Total Marjin Perdagangan dan Biaya Pengangkutan,Total Pajak dikurang Subsidi atas Produk,Output Domestik Harga Dasar,Total Penyediaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Konstruksi," 10,820,622 "," 18,165,938 "," 5,592,014 "," 310,799 "," 848,536 "," 54,215,629 "," 18,007,978 "," 6,563,730 "," 37,336 "," 1,921,210 "," 4,672,519 "," 77,964,170 "," 4,530,990 "," 40,632,098 "," 5,810,812 "," 1,411,031 "," 4,512,919 "," 256,018,331 "," 26,034,489 ", - , - ," 3,156,349,312 ","-850,808 ", - ," 5,300,560 "," 3,186,833,553 "," 3,442,851,884 ", - , - , - , - , - , - , - , - , - ," 3,442,851,884 "," 3,442,851,884 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor," 69,559,858 "," 43,109,378 "," 490,028,138 "," 7,204,537 "," 2,513,291 "," 295,744,099 "," 70,192,971 "," 96,371,093 "," 88,878,034 "," 9,507,257 "," 9,134,831 "," 7,887,843 "," 33,613,968 "," 13,741,675 "," 16,015,000 "," 46,177,116 "," 13,942,491 "," 1,313,621,580 "," 1,141,820,695 ", - ," 511,966 "," 297,752,284 ","-15,016,240 "," 192,155,293 "," 655,503 "," 1,617,879,501 "," 2,931,501,081 ", - , - , - , - , - , - , - , - , - ," 2,931,501,081 "," 2,931,501,081 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Transportasi dan Pergudangan," 12,262,964 "," 81,768,719 "," 155,236,442 "," 2,294,966 "," 2,334,897 "," 186,388,666 "," 103,431,568 "," 96,719,461 "," 9,817,745 "," 10,335,066 "," 5,748,432 "," 4,586,955 "," 21,375,024 "," 56,228,385 "," 19,694,369 "," 20,295,263 "," 6,679,547 "," 795,198,469 "," 583,609,683 ", - ," 35,237 "," 57,485,132 ","-2,788,346 "," 56,179,753 "," 42,460,998 "," 736,982,457 "," 1,532,180,926 ", - , - , - , - , - , - , - , - , - ," 1,532,180,926 "," 1,532,180,926 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Penyediaan Akomodasi dan Makan Minum," 763,010 "," 1,613,769 "," 11,706,100 "," 286,338 "," 967,102 "," 13,657,558 "," 18,639,149 "," 12,126,306 "," 340,443 "," 3,456,649 "," 2,596,702 "," 1,823,005 "," 4,782,035 "," 52,588,300 "," 18,443,694 "," 18,050,258 "," 9,586,417 "," 171,426,835 "," 980,563,422 ", - , - , - , - , - ," 35,574,700 "," 1,016,138,122 "," 1,187,564,957 ", - , - , - , - , - , - , - , - , - ," 1,187,564,957 "," 1,187,564,957 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,Informasi dan Komunikasi," 1,040,694 "," 7,635,194 "," 60,201,656 "," 1,462,293 "," 400,912 "," 41,627,759 "," 62,055,932 "," 46,842,953 "," 1,019,171 "," 155,180,064 "," 27,426,784 "," 38,772,635 "," 102,007,796 "," 35,952,441 "," 15,461,435 "," 13,121,535 "," 10,581,331 "," 620,790,585 "," 448,186,675 ", - ," 3,766,311 "," 20,873,403 ","-294,941 "," 12,214 "," 29,238,288 "," 501,781,950 "," 1,122,572,535 ", - , - , - , - , - , - , - , - , - ," 1,122,572,535 "," 1,122,572,535 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,Jasa Keuangan dan Asuransi," 40,197,539 "," 32,368,146 "," 98,526,454 "," 14,488,449 "," 663,040 "," 40,498,462 "," 145,687,370 "," 32,496,136 "," 11,389,401 "," 15,712,322 "," 68,501,078 "," 18,463,501 "," 37,745,530 "," 5,290,556 "," 4,878,788 "," 8,853,376 "," 18,781,970 "," 594,542,118 "," 307,934,566 ", - ," 15,603,595 ", - , - , - ," 11,919,891 "," 335,458,052 "," 930,000,170 ", - , - , - , - , - , - , - , - , - ," 930,000,170 "," 930,000,170 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,Real Estate," 35,764 "," 15,339,358 "," 15,046,610 "," 25,748 "," 367,275 "," 42,972,316 "," 88,066,266 "," 12,104,060 "," 1,758,191 "," 10,029,764 "," 7,960,404 "," 3,921,304 "," 12,991,307 "," 5,487,425 "," 12,588,518 "," 6,350,578 "," 23,136,132 "," 258,181,020 "," 701,362,666 ", - , - , - , - , - ," 4,699,638 "," 706,062,304 "," 964,243,324 ", - , - , - , - , - , - , - , - , - ," 964,243,324 "," 964,243,324 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,Jasa Perusahaan," 6,227,526 "," 51,592,153 "," 63,107,497 "," 11,596,594 "," 1,423,469 "," 121,298,493 "," 63,868,453 "," 55,424,852 "," 990,814 "," 74,945,131 "," 38,407,164 "," 33,034,578 "," 39,784,160 "," 41,945,326 "," 30,683,246 "," 42,745,759 "," 16,958,326 "," 694,033,541 "," 36,541,164 ", - , - ," 31,528,167 ", - , - ," 67,043,765 "," 135,113,096 "," 829,146,637 ", - , - , - , - , - , - , - , - , - ," 829,146,637 "," 829,146,637 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"," 568,862 "," 2,317,863 "," 2,959,879 "," 173,774 "," 212,794 "," 1,033,842 "," 1,086,013 "," 3,574,387 "," 95,692 "," 22,761,217 "," 905,112 "," 5,627,300 "," 3,706,454 "," 1,024,153 "," 530,490 "," 2,290,606 "," 98,434 "," 48,966,872 "," 3,110,119 ", - ," 686,575,114 "," 6,978,323 ", - , - ," 9,043,028 "," 705,706,584 "," 754,673,456 ", - , - , - , - , - , - , - , - , - ," 754,673,456 "," 754,673,456 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,Jasa Pendidikan, - ," 1,153,400 "," 3,207,792 "," 55,873 "," 66,503 "," 1,077,068 "," 2,019,330 "," 6,935,689 "," 45,033 "," 485,684 "," 5,701,028 "," 30,187 "," 3,459,365 "," 4,200,221 "," 9,852,384 "," 2,871,298 "," 1,274,337 "," 42,435,192 "," 363,674,616 "," 18,431,015 "," 338,021,493 ", - , - , - ," 876,730 "," 721,003,854 "," 763,439,046 ", - , - , - , - , - , - , - , - , - ," 763,439,046 "," 763,439,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
