Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Berlaku Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,,2021,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,12684.02,13965.7,14227.57,14734.03,55611.32,2107.88,2383.08,3868.42,3945.95,12305.34,2032.72,2435.72,2545.68,2300.06,9314.18,55.52,57.35,56.3,58.62,227.79,19.56,20.57,22.74,22.52,85.39,4341.13,4221.46,4700.94,5044.07,18307.6,5894.11,6820.55,6559.37,7186.59,26460.61,2365.36,2191.6,2323.25,2610.8,9491.01,574.51,564.92,575.49,814.85,2529.77,1334.26,1328.78,1445.58,1457.89,5566.52,871.92,863.57,927.55,864.47,3527.52,1815.1,1812,2028.22,1870.44,7525.77,256.47,253.96,294.28,295.06,1099.77,4102.01,5240.45,4585.42,5121.21,19049.09,1293.29,1255.91,1315.72,1642.96,5507.88,1332.73,1390.88,1473.27,1598.88,5795.76,624.1,586.97,627.15,736.33,2574.55,41704.72,45393.47,47576.95,50304.74,184979.88
Sumatera Utara,45324.41,46386.54,48611.37,49169.04,189491.36,2617.29,2612.77,2721.84,2758.25,10710.15,40841.3,41524.36,42346.85,43236.89,167949.41,235.35,239.65,251.58,260.36,986.94,213.82,216.42,220.48,219.81,870.54,27555.51,28287.42,29538.38,30373.07,115754.38,39040.96,40212.89,41611.04,41713.66,162578.56,8760.05,8948.55,8855.24,9306.01,35869.85,4310.45,4410.88,4421.48,4520.65,17663.47,4774.03,4947.19,5109.69,5263.38,20094.28,6151.72,6280.23,6618.01,6495.16,25545.12,10746.24,10907.23,11087.93,11171.55,43912.94,2136.09,2196.15,2234.46,2280.87,8847.57,7208.54,7984.37,7366.84,7897.75,30457.51,3887.46,4003.09,4039.37,4087.44,16017.36,2010.94,2065.76,2185.42,2237.04,8499.17,1143.32,1170.23,1178.19,1193.93,4685.66,206957.47,212393.75,218398.2,222184.84,859934.26
Sumatera Barat,13521.63,13394.37,13951.91,14018.45,54886.37,2628.68,2525.22,2632.06,2831.56,10617.53,5341.51,5183.1,5868.48,5864.06,22257.16,61.21,61.77,66.85,69.55,259.39,58.42,56.77,60.27,60.68,236.14,6371.68,6117.2,6421.41,6865.36,25775.65,9714.06,9769.91,10071.58,10529.72,40085.27,6419.75,6640.25,6286.56,6695.35,26041.92,792.69,775.46,751.4,889.77,3209.32,4075.96,4252.87,4214.84,4195.49,16739.16,2027.06,2058.38,2112.22,2090.2,8287.87,1227.32,1286.77,1321.76,1337.4,5173.25,268.13,269.54,278.74,271.21,1087.61,4037.4,4594.11,4165.62,4648.08,17445.21,2899.34,2915.28,2924.35,3038.74,11777.7,1008,1031.02,1119.94,1122.05,4281,1250.33,1187.5,1196.64,1305.19,4939.66,61703.16,62119.52,63444.63,65832.88,253100.2
Riau,53295.02,53609.84,58905.35,59679.13,225489.33,37996.23,39580.01,41749.59,45758.4,165084.23,55979.2,56519.13,60159.79,62721.24,235379.36,152.02,160.71,170.81,172.42,655.95,21.85,21.94,22.42,22.16,88.36,17303.42,18407.99,19300.05,20505.25,75516.71,18440.38,19990.6,20681.36,23883.55,82995.89,1341.96,1417.05,1350.35,1561.06,5670.42,961.57,896.57,929.92,1190.19,3978.26,1694.98,1741.64,1781.25,1697.4,6915.27,1931.46,1997.27,1978.99,2047.26,7954.98,1662.94,1800.97,1884.29,1973.7,7321.9,9.01,7.37,8.53,11.64,36.55,2425.76,3371.37,2737.89,3027.55,11562.58,1002.18,1174.75,1189.35,1218.9,4585.18,484.91,536.67,625.2,541.22,2188,922.73,720.08,807.87,1128.77,3579.44,195625.61,201953.95,214283.01,227139.84,839002.41
Jambi,16970.85,18235.15,18898.99,19127.43,73232.41,6923.07,7347.8,8943.13,9767.27,32981.27,5628.04,5969.68,6097.55,6110.53,23805.8,39.36,40.74,42.13,43.39,165.62,78.35,83,83.97,85.77,331.08,4592.53,4354.19,4475.76,5048.29,18470.77,6587.23,7317.03,7564.63,7581.36,29050.26,1385.21,1472.24,1533.68,1668.86,6059.99,613.04,638.05,614.62,702.93,2568.64,2288.67,2381.8,2411.97,2430.51,9512.95,1443.17,1485.25,1535.27,1512.66,5976.35,892.65,897.44,958.12,1005.34,3753.55,639.71,670.33,701.35,754.08,2765.47,2233.98,2905.69,2233.34,2626.45,9999.47,1943.11,2140.23,1930.77,2186.85,8200.96,710.16,756.13,915,934.14,3315.43,505.13,533.24,524.54,541.22,2104.12,53474.26,57227.99,59464.83,62127.08,232294.15
Sumatera Selatan,17668.26,18537.61,19220.27,17176.15,72602.28,20487.51,23702.87,28457.99,31161.81,103810.19,22969.33,23379.37,23710.15,24154.09,94212.92,178.3,180.16,184.36,184.86,727.68,148.14,148.85,148.97,148.99,594.96,14303.29,14420.85,14942.32,15197.98,58864.44,16021.03,16320.83,16743.73,17395.26,66480.85,2530.31,2622.91,2565.28,2753.38,10471.87,2145.18,2202.96,2183.14,2402.12,8933.41,3868.9,3910.65,4000.57,4072.18,15852.29,2909.75,2946.81,2977.45,2894.22,11728.23,3946.83,4028.54,3967.48,4041.36,15984.21,155.85,154.1,155.56,157.57,623.07,3017.51,3796.32,3388.25,3451.32,13653.4,2729.26,3003.33,2945.11,2998.53,11676.22,789.9,870.94,904.46,908.17,3473.47,948.12,984,986.88,1028.37,3947.37,114817.46,121211.09,127481.96,130126.35,493636.85
Bengkulu,5435.96,5732.52,5628.05,5736.46,22532.99,685.57,770.55,1099.55,1388.82,3944.49,1129.58,1169.13,1189.15,1140.59,4628.45,20.85,21.11,22.01,22.02,85.99,36.76,36.71,38.73,37.37,149.56,1011,987.72,1060.02,1084.06,4142.8,2638.25,2910.21,2882.59,3026.48,11457.52,1583.12,1575.93,1379.47,1764.9,6303.42,340.01,353.59,339.28,344.47,1377.35,701.41,753.63,765.96,779.66,3000.65,672.54,688.37,701.58,701.29,2763.78,689.25,706.97,711.61,734.99,2842.81,394.18,409.67,409.82,452.11,1665.78,1754.12,2076.27,1877.42,1952.88,7660.69,1154.24,1207.73,1219.31,1195.37,4776.65,366.3,381.35,410.33,431.78,1589.77,160.17,176.43,167.66,175.65,679.92,18773.31,19957.88,19902.55,20968.91,79602.64
