Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Berlaku Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,20084.06,20123.61,20999.9,23086.6,84294.17,4161.77,4042.83,4025.8,3221.14,15451.55,2906.68,3055.67,3165.6,3133.64,12261.59,63.19,70.04,74.28,62.61,270.12,30.24,30.28,30.44,28.83,119.79,4817.54,5105.75,5580.72,5654.94,21158.95,9582.64,9646.38,9812.15,9830.15,38871.32,4221.24,4859.39,4616.13,4233.86,17930.63,1071.35,1097.53,1195.71,1104.74,4469.33,1642.83,1704.92,1819.66,1614.84,6782.26,1006.42,1038.84,1082.11,1177.67,4305.05,2163.67,2335.98,2457.67,2308.55,9265.87,356.59,353.7,373.75,371.2,1455.25,5455.08,5862.88,5644.08,6075.32,23037.37,1581.62,1695.96,1772.3,1677.77,6727.65,1767.82,1919.07,2007.9,1920.63,7615.42,834.24,897.51,905.73,848.64,3486.12,61747,63840.34,65563.94,66351.15,257502.43
Sumatera Utara,75488.89,79392.33,81566.22,76553.26,313000.7,3411.7,3569.82,3779.22,3821.3,14582.05,54764.29,56507.16,58819.29,57283.67,227374.41,282.24,295.95,314.48,277.03,1169.7,256.17,270.48,283.01,282.04,1091.71,36092.11,36312.54,37841.39,39472.61,149718.65,55376.92,56955.59,59954.4,62213.21,234500.12,15648.92,16105.82,15780.39,16483.24,64018.36,6437.39,6548.22,6460.44,7597.02,27043.07,6700.95,6831.31,7084.39,7401.91,28018.56,8109.44,8119.54,8333.78,8499.13,33061.89,12434.72,13371.82,14504.05,14683.95,54994.54,3254.84,3296.53,3421.18,3556.68,13529.23,8918.31,9452.87,7415.71,8681.37,34468.27,5020.67,5182.35,5271.05,5499.58,20973.65,2716.01,2863.16,3056.69,3273.59,11909.46,1576.89,1663.29,1676.42,1822.6,6739.2,296490.46,306738.78,315562.13,317402.2,1236193.57
Sumatera Barat,19320.63,19208.82,19636.88,19745.08,77911.4,3271.05,3343.73,3300.42,3366.33,13281.54,7380.64,7291.58,7978.94,7463.51,30114.67,73.94,76.08,74.64,79.02,303.68,75.18,78.8,76.94,75.43,306.34,8042.4,8248.52,8352.39,8697.18,33340.48,14028.49,14389.76,15023.83,15190.1,58632.18,9354.49,10008.53,9181.86,9055.59,37600.46,1176.64,1195.79,1210.45,1232.84,4815.71,5697.65,6017.33,5908.49,5663.53,23287.01,2659.99,2718.06,2808.24,2956.72,11143.01,1794.25,1856.64,1916.41,1906.26,7473.57,372.11,362.45,384.63,382.72,1501.91,5820.97,6103.99,4821.61,5739.04,22485.61,3873.1,3923.45,4104.42,3947.58,15848.54,1492.49,1465.97,1582.1,1743.55,6284.11,1784.18,2052.68,1994.07,2028.22,7859.16,86218.21,88342.16,88356.32,89272.71,352189.4
Riau,81681.56,81922.35,89116.88,85979.1,338699.89,51972.02,46741.82,48421.44,46235.27,193370.54,85894.18,86759.13,92042.27,93665.95,358361.54,237.4,214.56,234.83,249.12,935.91,28.58,30.11,29.84,31,119.53,26622.48,26700.77,29728.24,30182.32,113233.81,29502.83,32207.26,28599.95,31515.06,121825.11,2169.89,2720.21,2428.06,2600.37,9918.53,1357.23,1398.7,1422.64,1640.23,5818.81,2227.68,2288.49,2402.56,2432.13,9350.87,2571.65,2616.01,2607.11,2815.29,10610.06,2214.44,2304.71,2491.5,2480.16,9490.8,13.76,14.83,13.53,15.72,57.84,3716.15,3960.27,3584.44,3928.63,15189.49,1377.9,1434.47,1579.55,1575.8,5967.73,721.85,723.03,797.49,763.78,3006.15,1365,1392.9,1221.75,1447.5,5427.15,293674.6,293429.64,306722.1,307557.43,1201383.76
Jambi,28221.19,30103.03,31209.54,31062.05,120595.81,11839.44,11629.29,12054.16,12678.19,48201.09,8023.43,8499.96,8743.2,8902.25,34168.84,59.96,63.77,65.51,68.67,257.91,105.18,108.14,106.37,106.57,426.26,5435.49,5787.19,5880.68,6071.99,23175.35,10912.07,12070,12169.03,12306.04,47457.14,2791.47,2828.13,2875.27,3041.15,11536.02,901.16,910.89,975.18,997.12,3784.36,2832.08,3244.36,3214.88,3242.58,12533.91,1868.25,1854.4,1933.85,2079.49,7735.98,1091.33,1220.08,1224.15,1250.45,4786.02,1280.38,1340.85,1375.47,1403.7,5400.4,2972.21,3114.75,2921.79,2945.07,11953.81,2248.66,2593.18,2717.7,2713.88,10273.42,994.07,1013.27,1054.45,1016.83,4078.61,743.78,832.91,798.7,922.27,3297.66,82320.16,87214.21,89319.93,90808.29,349662.6
Sumatera Selatan,24095.34,24921.63,27344.46,23936.44,100297.86,39787.74,43747.59,44986.7,44270.37,172792.41,31893.42,32884.64,33144.99,33400.59,131323.64,227.38,231.04,242.34,242.64,943.4,160.64,163.3,166.96,171.29,662.19,18393.44,19468.55,19637.87,19838.37,77338.23,24294.7,25589.78,26220.54,26916.31,103021.33,4279.98,4549.55,4468.97,4482.52,17781.02,3428.08,3773.56,3835.07,3936.76,14973.47,5244.83,5221.25,5251.07,5405.63,21122.79,3648.27,3700.98,3869.8,3915.53,15134.57,5115.54,5427.53,5518.45,5711.12,21772.65,191.51,199.86,204.51,213.41,809.3,4168.55,4651.15,4225.39,4535.83,17580.93,3622.77,3597.72,3817.9,4194.29,15232.67,1055.99,1102.79,1106.13,1214.5,4479.41,1200.33,1225.24,1254.82,1258.97,4939.35,170808.5,180456.16,185295.99,183644.58,720205.22
Bengkulu,8140.15,8855.64,8539.68,8853.19,34388.66,1239.45,711.44,981.22,1069.74,4001.86,1391.12,1550.93,1544.3,1599.79,6086.13,26.4,26.57,26.61,26.84,106.42,45.62,50.24,48.26,50.32,194.45,1188.38,1307.15,1386.72,1412.78,5295.03,3469.63,3833.69,3746.18,3998.98,15048.49,2390.84,2853.85,2303.18,2843.17,10391.04,487.46,547.86,547.84,571.88,2155.04,1087.2,1149.18,1129.85,1145.45,4511.69,783.82,777.35,858.92,908.14,3328.24,879.7,889.77,908.4,926.59,3604.47,612.33,663.19,677.41,717.1,2670.03,2386.23,2604.86,2284.06,2288.22,9563.37,1599.44,1744.77,1839.08,1840.51,7023.79,563.33,590.41,584.53,618.32,2356.6,244.81,286.09,277.44,295.78,1104.12,26535.91,28443.02,27683.68,29166.81,111829.42
