Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Konstan Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,9639.52,9229.92,9779.06,9251.02,37899.52,2327.93,2976.08,2728.41,2452.91,10485.33,1384.97,1609.28,1622.88,1441.52,6058.65,53.69,56.29,55.18,52.2,217.37,11.93,12.81,12.79,12.59,50.11,3349.61,3296.18,3643.11,3611.54,13900.44,4739.99,4778.02,4691.91,5028.3,19238.23,2316.68,1180.04,1763.74,1796.22,7056.69,410.76,388.63,404.91,444.94,1649.24,1281.18,1354.27,1294.07,1257.84,5187.37,616,595.72,577.29,566.95,2355.95,1407.59,1348.75,1353.88,1335.46,5445.68,211.6,202.52,205.19,221.5,840.81,2665.13,2935.21,2807.98,3050.72,11459.04,837.55,907.23,915.86,991.01,3651.65,973.94,952.63,1058.95,1184.92,4170.44,478.19,448.57,479.25,508.46,1914.46,32706.25,32272.15,33394.48,33208.09,131580.97
Sumatera Utara,34494.32,33533.7,34511.57,33787.44,136327.03,1786.41,1692.71,1719.29,1737.64,6936.06,24057.91,23785.87,24368.45,24336.08,96548.31,190.01,182.71,191.32,187.81,751.85,132.27,131.8,135.36,136.34,535.77,17069.97,16006.34,16686.05,17080.95,66843.31,24398.84,22931.69,23968.69,23821.23,95120.46,6514.81,5099.16,5387.12,5491.5,22492.59,3424.19,2789.76,2855.78,2915.87,11985.59,4010.02,4014.84,4103.56,4195.48,16323.91,3880.73,3682.87,3808.11,3963.05,15334.76,5794.21,5694.55,5818.69,5842.54,23149.98,1252.3,1132.71,1157.97,1174.76,4717.73,4383.36,4411.41,4471.4,4537.13,17803.3,2766.73,2728.27,2789.66,2806.67,11091.33,1317.47,1232.49,1261.08,1268.15,5079.18,716.18,649.07,663.87,676.09,2705.2,136189.71,129699.94,133897.98,133958.73,533746.36
Sumatera Barat,9408.3,9424.64,9504.71,9655.74,37993.39,1774.66,1644.66,1769.72,1839.87,7028.91,3863.27,3777.55,4186.35,4204.64,16031.82,45.25,41.73,41.3,41.74,170.03,41.4,40.6,42.75,43.51,168.25,4065.31,3766.25,3920.62,4101.97,15854.14,6950.62,6669.71,6954.33,6978.19,27552.85,4978.67,3777.47,4378.95,4416.59,17551.68,492.58,330.2,401.5,441.22,1665.5,3412.1,3581.91,3477.14,3492.74,13963.89,1202.56,1157.05,1224.73,1251.67,4836,871.98,863.34,829.95,823.56,3388.83,190.44,181.98,182.4,181.89,736.71,2495.93,2394.8,2358.84,2507.59,9757.16,1792.31,1735.78,1873.31,1834.49,7235.89,654.38,640.63,703.35,706.88,2705.24,784.33,632.56,671.98,697.44,2786.31,43024.08,40660.84,42521.95,43219.73,169426.61
Riau,33429.01,32235.4,35056.76,34403.04,135124.21,21185.27,19884.64,19251.33,19869.55,80190.79,38727.89,37716.67,40274.28,39355.02,156073.85,93.17,92.69,96.17,88.38,370.42,16.56,16.77,16.42,17.21,66.95,10178.56,9974.14,10226.25,11112.57,41491.53,10904.27,9626.15,10598.57,11483.69,42612.68,990.64,635.73,765.56,812.3,3204.23,529.13,349.45,461.47,501.03,1841.08,1266.52,1326.96,1361.5,1362.99,5317.98,1172.73,1166.98,1201.18,1240.79,4781.68,1089.5,1173.8,1213.76,1217.96,4695.02,6.31,4.07,5.52,6.71,22.6,1971.62,2038.48,2126.68,2172.39,8309.17,557,650.9,697.34,680.98,2586.22,276.26,285.06,324.75,296.45,1182.52,585.98,390.3,493.66,654.89,2124.83,122980.41,117568.2,124171.18,125275.96,489995.75
Jambi,9756.96,9901.88,9955.08,10138.02,39751.94,8765.83,8609.63,8805.85,8807.65,34988.96,3811.33,3811.83,3897.81,3992.7,15513.67,20.11,19.42,20.78,20.83,81.14,50.23,51.15,50.41,50.89,202.68,2625.6,2609.73,2731.2,3174.05,11140.58,3726.19,3521.76,3499.64,3455.9,14203.5,1141.65,901.73,1065.94,1094.51,4203.82,403.18,356.09,404.63,418.84,1582.75,1515.67,1527.42,1527.66,1530.26,6101.01,854.28,822.98,892.04,917.96,3487.26,548.49,530.94,562.4,570.16,2212,372.57,359.5,369.86,378.67,1480.6,1207.87,1260.84,1220.52,1133.92,4823.16,1253.04,1280.63,1319.77,1300.27,5153.71,459.45,458.43,489.27,506.96,1914.1,384.2,376.11,377,376.07,1513.38,36896.66,36400.08,37189.86,37867.65,148354.25
Sumatera Selatan,13196.37,13568.26,14255.03,12261.86,53281.53,16848.88,16754.27,17729.89,16997.82,68330.87,15018.03,14760.05,14755.76,14742.8,59276.64,93.93,96.41,102.44,102.32,395.09,90.52,92.45,97.41,100.7,381.08,8926.11,8985.02,9336.34,9431.1,36678.56,8721.35,7629.27,8312.24,8454.72,33117.58,1670.98,1429.84,1478.64,1526.94,6106.4,1194.83,941.67,1070.16,1156.89,4363.55,2887.74,3022.88,3114.17,3189.54,12214.33,1834.59,1798.52,1913.1,1931.4,7477.61,2619.41,2507.56,2542.42,2545.47,10214.87,95.22,86.77,87.68,88.46,358.14,2293.91,2429.02,2576.22,2578.02,9877.17,2015.68,2017.1,2016.89,2033.23,8082.9,542.26,576.47,576.35,577.16,2272.24,657.35,681.21,680.75,681.34,2700.64,78707.17,77376.77,80645.5,78399.78,315129.22
Bengkulu,3249.72,3238.46,3155.11,3152.7,12795.99,394.86,383.24,382.48,374.49,1535.08,683.32,684.03,672.74,673.36,2713.44,11.68,11.94,12.67,12.87,49.16,25.34,25.14,25.09,25.12,100.69,527.08,515.92,565.3,580.81,2189.12,1911.89,1770.88,1773.64,1732.93,7189.34,970.91,816.13,954.46,930.49,3671.99,207.5,197.33,199.72,200.09,804.65,560.88,562.45,565.35,561.72,2250.4,391.47,377.01,418.69,422.48,1609.65,518.57,519.76,515.75,511.68,2065.76,262.8,253.22,256.54,251.14,1023.7,1028.5,1029.31,1058.23,1071.35,4187.38,731.72,732.43,736.79,716.04,2916.99,208.85,210.65,213.52,216.02,849.04,98.29,95.55,96.38,95.83,386.05,11783.39,11423.47,11602.44,11529.13,46338.43
