Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Konstan Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,,2022,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,9351.61,9646.09,9312.29,10695.09,39005.09,2633.25,2709.67,2770.9,2741.4,10855.21,1428.18,1680.7,1662.14,1701.35,6472.36,52.97,56.44,56.95,55.84,222.19,13.19,13.55,14.19,15.03,55.96,3041.55,2964.43,3513.93,4004.59,13524.5,5182.07,5271.74,5187.65,5685.89,21327.34,2254.81,2251.07,2255.25,2283.37,9044.5,472.59,512.73,529.03,537.99,2052.34,1466.5,1513.36,1613.97,1614.09,6207.92,602.7,452.75,510.1,538.15,2103.7,1422.64,1427.67,1588.16,1453.9,5892.36,223.76,237.57,239.5,239.62,940.45,2558.05,3043.09,3318.01,3263.43,12182.58,951.38,951.92,912.63,1022.15,3838.08,1260.65,1286.95,1220.88,1255.5,5023.97,541.6,556.14,567.74,557.67,2223.15,33457.52,34575.84,35273.3,37665.06,140971.72
Sumatera Utara,36270.5,37059.64,37973.51,37418.33,148721.97,1768.53,1785.89,1837.23,1862.35,7253.99,24473.35,24844.78,25333.03,25217.91,99869.07,203.35,207.51,209.37,206.65,826.87,139.47,141.34,142.11,144.28,567.2,16962.16,17272.7,17832.67,18303.71,70371.23,25258.33,26140.7,26836.91,26801.79,105037.72,5666.66,6049.88,6237.74,6532.02,24486.3,3025.06,3167.7,3212.75,3346.27,12751.77,4506.55,4615.44,4730.42,4854.83,18707.24,4237.24,4026.4,4173.37,4191.85,16628.86,6006.62,6176.58,6262.43,6356.99,24802.62,1217.1,1270.19,1307.27,1330.02,5124.58,4315.44,4690.55,4464,4571.14,18041.14,2884.89,2985.77,3049.97,3096.33,12016.96,1302.15,1336.14,1345.63,1354.11,5338.02,706.65,736.68,757.89,781.99,2983.21,138944.04,142507.86,145706.31,146370.55,573528.77
Sumatera Barat,9691.09,9890.9,10135.3,10471.35,40188.63,1776.02,1722.22,1789.87,1750.17,7038.28,3997.64,4105,4414.37,4401.56,16918.57,44.09,44.61,46.38,45.93,181.01,46.56,48.33,45.1,44.53,184.52,4139.08,3979.61,4084.88,4404.05,16607.63,7478.07,7602.11,7679.89,7817.78,30577.86,4689.09,4828.49,4686.49,4826.21,19030.28,491.15,510.05,507.37,529.05,2037.61,3866.36,3994.53,4020.32,4021.53,15902.75,1402.83,1362.69,1374.77,1342.56,5482.85,896.01,902.23,931.05,941.8,3671.09,195.72,195.86,202.98,205.08,799.64,2390.65,2453.84,2529.75,2553.67,9927.92,1895.63,1926.63,1953.52,1970.82,7746.6,725.3,734.34,748.22,786.4,2994.27,797.39,887.37,780.76,873.34,3338.86,44522.67,45188.82,45931.03,46985.82,182628.34
Riau,34847.77,35285.39,38320.1,36237.78,144691.04,20009.02,19387.75,19611.08,19736.23,78744.08,41856.72,40357.04,43983.49,43919.65,170116.9,97.52,100.18,120.11,123.02,440.83,18.01,17.82,18.71,18.88,73.42,11268.2,11065.69,11090.3,11235.57,44659.76,12298.13,13849.97,12283.59,13996.28,52427.97,867.35,1083.68,989.08,1029.84,3969.95,593.83,576.8,564.58,662.53,2397.74,1440.43,1520.73,1563.1,1570.2,6094.47,1355.69,1192.64,1374.87,1354.11,5277.31,1178.9,1233.55,1342.5,1351.27,5106.22,6.28,6.34,5.94,7.31,25.87,1887.04,2339.86,2318.89,2329.73,8875.53,610.14,692.82,724.25,749.93,2777.14,322.16,318.63,366.07,344.86,1351.71,621.44,624.06,554.8,702.74,2503.05,129278.63,129652.94,135231.47,135369.93,529532.98
Jambi,10338,10757.49,11056.38,11116.51,43268.38,9000.65,9702.41,10069.22,9729.75,38502.03,3837.65,4151.91,4205.45,4018.28,16213.29,23.42,23.83,24.86,24.9,97.02,53.88,54.51,56.46,54.94,219.78,3098.52,2914.15,2940.96,2965.37,11919.01,3659.2,3927.11,4079.31,4197.17,15862.79,1146.27,1303.49,1305.28,1435.22,5190.27,431.38,452.28,470.07,491.87,1845.6,1635.84,1710.26,1717.61,1730.5,6794.21,949.22,856.09,939.08,903.44,3647.83,589.86,590.93,591.82,605.58,2378.19,414.43,464.14,445.74,449.08,1773.38,1110.23,1275.87,1255.31,1256.1,4897.51,1304.77,1315.56,1329.73,1371.77,5321.83,540.64,506.74,545.76,567.55,2160.69,385.09,414.98,409.63,430.44,1640.14,38519.06,40421.76,41442.66,41348.48,161731.95
Sumatera Selatan,13987.4,14630.43,15107.94,13200.95,56926.73,17787.65,18942.94,20147.41,19718.69,76596.7,15580.72,15942.47,15812.21,15972.21,63307.61,99.01,107.65,110.12,107.16,423.94,91.71,93.09,90.06,90.78,365.63,9250.22,9215.81,9269.27,9400.79,37136.08,9252.83,9498.06,9898.37,9985.58,38634.85,1526.48,1692.27,1691.03,1756.98,6666.77,1212.75,1312.44,1315.62,1384.56,5225.37,3329.89,3443.77,3553.63,3676.59,14003.88,1871.95,1970.83,1975.77,1925.54,7744.09,2786.57,2839.24,2842.93,2904.34,11373.07,93.16,91.26,92.45,93.88,370.75,2292.83,2773.38,2761.73,2812,10639.94,2013.92,2219.95,2263.01,2310.09,8806.97,590.8,633.4,636.24,639.23,2499.67,659.38,683.9,704.58,733.73,2781.58,82427.26,86090.89,88272.38,86713.09,343503.62
Bengkulu,3316.43,3522.94,3395.28,3464.68,13699.33,393.51,387.31,385.93,421.63,1588.38,678.92,741.34,768.92,673.98,2863.15,13.83,14.67,14.41,14.49,57.4,26.72,26.9,26.81,26.85,107.28,573.77,539.01,571.84,570.24,2254.85,1855.41,1993.64,1965.01,2064.65,7878.7,1020.27,1136.22,975,1110.29,4241.77,207.39,223.75,225.59,227.99,884.72,625.18,656.93,647.08,661.64,2590.83,437.88,404.32,423.68,379.23,1645.11,517.97,529.04,542,559.07,2148.08,276.39,276.92,280.94,296.37,1130.62,976.98,1145.9,1070.45,1103.63,4296.97,711.31,800.93,816.2,806.51,3134.96,227.8,243.08,247.15,252.57,970.6,96.19,107.22,107.83,112.07,423.31,11955.93,12750.11,12464.13,12745.88,49916.06
