Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Berlaku Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,,2020,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,13233.9,12387.3,13224.83,12701.85,51547.88,1723.62,1908.5,1944.98,1833.09,7410.19,1727.17,1956.6,2029.53,1879.69,7592.98,56.51,58.93,57.76,54.27,227.46,19.58,21.02,20.99,20.67,82.25,4259.66,4198.85,4655.07,4643.81,17757.38,6041.26,6072.02,5982.73,6507.41,24603.42,2485.07,1257.95,1916.42,1989.49,7648.94,657.89,630.13,647.47,711.13,2646.62,1297.56,1349.28,1289.56,1253.45,5189.85,926.42,879.86,855.17,849.18,3510.64,1845.15,1768.02,1788.23,1763.91,7165.32,264.48,254.43,257.76,281.59,1058.26,3847.71,4326.21,4222.29,4679.95,17076.15,1194.78,1294.18,1316.3,1438.98,5244.24,1176.57,1174.43,1312.81,1472.5,5136.31,615.45,579.31,620.93,658.77,2474.46,41372.76,40117.01,42142.82,42739.73,166372.32
Sumatera Utara,43907.02,42084.41,43723.46,43360.06,173074.95,2618.97,2527.45,2586.18,2640.87,10373.47,38724.82,37946.84,39474.71,40357.23,156503.61,236.36,224.49,236.41,235.12,932.38,205.2,204.48,210,211.51,831.19,28033.98,26332.07,27532.57,28248.08,110146.7,38576.66,37195.29,38868.47,38585.96,153226.38,10364.94,8167.91,8802.09,9074.34,36409.27,5049.35,4114.07,4216.5,4312.21,17692.13,4536.16,4541.6,4641.97,4747.38,18467.11,5994.87,5615.18,5816.56,6102.97,23529.58,10685.22,10501.43,10737.13,10781.15,42704.93,2301.81,2081.99,2128.41,2179.89,8692.1,7284.16,7484.18,7680.47,7698.41,30147.21,3841.88,3816.22,3902.09,3929.5,15489.68,2153.45,2032.51,2084.43,2103.68,8374.06,1214.58,1101.66,1127.97,1149.34,4593.54,205729.42,195971.77,203769.44,205717.68,811188.31
Sumatera Barat,13537.4,13427.54,13428.39,13705.95,54099.28,2604.95,2442.62,2586.25,2708.06,10341.88,5021.56,4919.18,5446.44,5520.35,20907.53,65.18,61.12,61,61.68,248.98,54.31,53.37,56.2,57.21,221.08,6286.35,5830.13,6079.81,6388.44,24584.73,9747.65,9187.22,9604.29,9616.15,38155.31,7321.77,5283.06,6275.54,6382.08,25262.45,887.8,587.46,720,796.36,2991.62,3858.3,3960.91,3843.25,3887.57,15550.04,1836.63,1746.87,1852,1913.69,7349.18,1280.08,1269.42,1222.54,1219.24,4991.28,276.02,263.22,263.8,266.4,1069.43,3916.43,4015.19,4014.15,4306.42,16252.18,2812.15,2724.86,2952.09,2908.41,11397.5,940.15,925.01,1024.83,1033.56,3923.55,1281.36,1030.05,1097.22,1139.49,4548.12,61728.06,57727.23,60527.8,61911.04,241894.13
Riau,48583.86,45594.79,50114.81,50367.49,194660.94,39978.11,25836.61,30837.69,32368.18,129020.59,50956.14,48703.92,53382.72,54258.43,207301.21,155.82,157.25,164.2,150.84,628.11,20.86,21.14,20.51,21.5,84.01,17226,16908.22,17387.59,19032.11,70553.91,19064.9,16920.14,18683.87,20262.56,74931.46,1628.3,1053.48,1270.43,1352.56,5304.76,955.61,629.53,835.37,912.77,3333.29,1517.88,1601.54,1649.36,1651.55,6420.32,1771.41,1734.85,1791.05,1873.5,7170.82,1628.09,1754.18,1815.89,1827.2,7025.35,10.04,6.52,8.76,10.67,35.99,2650.31,2792.8,2949.93,2982.29,11375.33,945.44,1106.24,1189.77,1164.99,4406.44,448.64,467.61,535.48,489.75,1941.49,930.82,624.11,794.54,1055.96,3405.44,188472.23,165912.93,183431.96,189782.35,727599.47
Jambi,15735.47,15196.03,15998.99,16632.6,63563.09,8575.58,5000.38,5678.1,5933.23,25187.29,5320.7,5341.29,5519.21,5823.82,22005.03,37.77,36.52,39.46,39.36,153.1,77.18,78.62,77.5,78.23,311.52,3843.51,3827.03,4035.12,4710.71,16416.36,6773.32,6408.19,6375.01,6321.42,25877.93,1545.85,1193.43,1425.16,1479.18,5643.61,625.99,545,620.04,643.22,2434.25,2278.97,2284.86,2285.49,2287.58,9136.89,1330.14,1265.71,1373.58,1425.66,5395.09,883.46,856.41,907.17,920.83,3567.87,647.73,626.64,645.52,663.07,2582.95,2476.75,2590.68,2525.39,2356.37,9949.18,1931.12,1977.79,2044.36,2012.72,7965.99,669.07,668.99,720.18,747.77,2806,528.45,518.41,519.9,519.08,2085.84,53281.06,48415.95,50790.15,52594.84,205081.99
Sumatera Selatan,17393.71,17328.23,18234.17,16005.12,68961.23,20911.66,20296.67,21379.37,20695.29,83282.99,22564.32,22351.61,22308.78,22481.1,89705.82,155.06,166.24,175.95,175.79,673.04,141.19,144.63,157.24,162.93,606,13820.16,13933.81,14498.88,14725.1,56977.95,16339.2,14352.21,15648.07,15984.98,62324.46,2906.72,2490.73,2588.48,2683.02,10668.95,2324.65,1842.61,2089.98,2262.11,8519.35,3527.94,3692.31,3811.81,3904.44,14936.51,2686.9,2607.55,2765.51,2818.32,10878.28,3854.49,3738.61,3812.57,3796.97,15202.63,163.95,149.6,150.52,152.44,616.52,2944.96,3303.34,3477.8,3455.21,13181.31,2725.43,2724.07,2727.88,2750.8,10928.19,769.86,825.12,829.2,830.69,3254.87,939.36,992.74,977.39,979.8,3889.29,114169.57,110940.07,115633.63,113864.12,454607.4
Bengkulu,5183.19,5196.31,5178.03,5224.69,20782.22,614.08,593.99,588.98,595.78,2392.82,1097.06,1100.37,1084.65,1103.72,4385.81,18.81,19.15,20.25,20.49,78.7,36.44,36.18,36.65,36.46,145.73,926.59,908.74,1000.46,1033.72,3869.51,2797.63,2596.34,2619.09,2579.28,10592.33,1543.42,1293.6,1604.57,1589.49,6031.09,341.96,325.76,331.1,332.88,1331.7,692.54,695.38,699.84,696.52,2784.29,604.25,573.34,637.35,649.71,2464.65,700.57,703.24,699.32,694.26,2797.39,409.86,395.29,401.28,393.78,1600.21,1807.74,1818.44,1892.81,1911,7429.98,1148.05,1150.95,1152.07,1127.83,4578.9,342.16,346.12,354.03,360.9,1403.21,161.34,157.09,159.21,159.1,636.74,18425.68,17910.29,18459.67,18509.62,73305.27
