Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Konstan Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,,2025,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,10580.76,10512.47,10707.6,11836.76,43637.58,3112.59,3042.69,3017.07,2427.06,11599.42,1646.47,1727.88,1755.78,1732.96,6863.09,57.81,63.93,67.59,55.76,245.1,15.02,15.08,15.08,14.04,59.22,3270.47,3460.31,3773.53,3766.47,14270.79,6176.54,6193.94,6286.8,6261.88,24919.15,2842.02,3259.59,3099.6,2833.4,12034.61,580.05,587.54,639.09,585.74,2392.42,1636.71,1702.02,1810.37,1604.6,6753.7,561.13,574.64,595.12,644.4,2375.29,1573.35,1657.07,1741.02,1634.26,6605.69,240.83,234.03,246.49,244.51,965.86,3268.51,3475.44,3334.93,3595.8,13674.67,996.06,1066.43,1109.53,1049.06,4221.07,1224.48,1322.75,1371.86,1308.53,5227.62,601.12,645.51,645.28,603.2,2495.12,38383.89,39541.33,40216.74,40198.42,158340.39
Sumatera Utara,40496.45,42454.08,43260.1,40492.33,166702.95,1930.34,1949.98,2004.34,2060.49,7945.15,27209.63,28006.07,28913,27740.29,111869,217.43,225.59,232.94,220.04,895.99,150.18,157.8,164.24,163.14,635.36,19326.9,19411.94,20176.77,20818.57,79734.18,29310.85,30217.47,31323.79,32345.67,123197.78,7921.34,8146.59,8096.26,8451.85,32616.04,3936,3991.76,3922.25,4579.69,16429.69,5513.38,5632.47,5833.55,6094.95,23074.36,4634.99,4618.27,4728.62,4805.9,18787.78,6959.17,7038.11,7618.05,7693.36,29308.68,1550.4,1551.64,1599.12,1646.69,6347.86,4999.73,5273.71,4185.74,4931.24,19390.42,3452.27,3563.09,3561.05,3625.41,14201.83,1490.87,1562.59,1660.4,1756.89,6470.75,848.01,891.17,890.99,966.19,3596.36,159947.95,164692.33,168171.2,168392.7,661204.18
Sumatera Barat,11062.19,10881.34,11095.47,11188.28,44227.27,1921.52,1955.08,1913.32,1941.22,7731.13,4649.82,4575.89,4978.81,4651.53,18856.05,48.43,49.75,48.74,51.58,198.5,48.8,50.08,48.89,47.77,195.54,4381.94,4488.05,4538.31,4719.14,18127.44,8492.5,8541.16,8854.23,8751.35,34639.23,5384.55,5592.11,5153.68,5115.12,21245.46,591.99,592.03,597.02,605.76,2386.8,4641.45,4918.67,4821.61,4622.02,19003.75,1538.8,1573.3,1617.36,1698.46,6427.92,1055.25,1087.48,1119.72,1108.4,4370.86,232.93,227.66,241.18,240,941.76,2958.67,3101.29,2448.76,2913.53,11422.25,2094.62,2121.57,2184.57,2097.45,8498.2,872.67,856,922.94,1015.07,3666.68,954.29,1097.01,1064.81,1082.94,4199.04,50930.4,51708.45,51649.41,51849.62,206137.88
Riau,38581.69,39326.46,42162.92,40107.49,160178.55,20741.94,19861.43,20394.17,20119.81,81117.36,47029.58,47495.26,49854.38,50164.63,194543.85,128.15,115.45,125.57,133,502.18,20.68,21.7,21.39,22.15,85.93,12896.96,12913.21,14340.01,14401.35,54551.53,15084.63,16373.37,14592.57,16049.32,62099.88,1043.51,1297.33,1162.68,1243.16,4746.68,673.49,692.58,702.14,809.53,2877.75,1777.3,1830.08,1918.61,1942.29,7468.29,1424.32,1436.51,1423.33,1528.41,5812.58,1345.06,1390.15,1499.78,1489.79,5724.77,7.99,8.22,7.63,8.87,32.7,2611.57,2769.63,2544.35,2806.36,10731.91,761.62,791.97,861.45,857.92,3272.95,404.55,404.1,443.98,424.35,1676.98,802.64,818.3,716.65,848.98,3186.56,145335.68,147545.76,152771.6,152957.41,598610.45
Jambi,11870.55,12546.51,13003.34,12839.28,50259.68,9657.14,9926.27,10212.26,10650.27,40445.93,4417.37,4634.79,4749.15,4793.28,18594.58,28.69,30.65,31.46,34.6,125.4,56.91,57.63,56.76,57.24,228.55,3195.32,3396.37,3442.29,3515.95,13549.93,4568.64,5044.77,5052.08,5070.97,19736.46,1619.69,1616.54,1656.62,1727.93,6620.79,545.76,551.44,583.82,586.87,2267.89,1885.56,2163.72,2140.42,2149.57,8339.27,1005.23,986.64,1022.85,1094.98,4109.7,667.11,669.07,672.97,683.19,2692.35,587.23,603.62,614.6,622.48,2427.93,1354.38,1413.56,1342.09,1364.36,5474.4,1344.22,1550.18,1626.27,1589.7,6110.37,637.36,648.38,678.49,647.89,2612.12,456,500.59,478.6,551.66,1986.86,43897.18,46340.72,47364.08,47980.23,185582.21
Sumatera Selatan,15484.22,15754.92,16988.05,14774.08,63001.26,20333.36,22392.54,23028.7,22592.7,88347.3,17560.6,18079.64,18103.64,18129.42,71873.3,124.82,125.41,131.2,131.71,513.14,93.01,94.16,95.78,97.95,380.9,10339.57,10901.73,10970.09,10965.87,43177.27,11550.5,11977.08,12251.15,12513.12,48291.85,1896.32,1971.58,1972.2,1945.71,7785.81,1635.57,1790.81,1812.64,1852.95,7091.97,4267.86,4253.35,4276.75,4400.34,17198.31,2212.08,2218.06,2305.98,2323.93,9060.05,3343.13,3420.69,3472.75,3591.52,13828.09,101.36,104.07,106.31,110.45,422.19,2998.01,3295.89,2989.04,3196.49,12479.43,2404.25,2380.69,2498.06,2739.87,10022.86,672.46,699.77,699.42,766.5,2838.15,752.46,763.45,777.67,780.37,3073.94,95769.57,100223.84,102479.44,100912.97,399385.81
Bengkulu,3640.26,3910.87,3667.29,3711.97,14930.39,466.35,340.84,430.07,450.99,1688.25,746.67,830.09,820.47,840.32,3237.55,15.96,15.95,16.01,16.34,64.26,28.12,30.84,29.47,30.62,119.05,582.4,639.54,676.71,681.96,2580.61,2032.77,2213.22,2146.84,2268.88,8661.71,1147.87,1315.46,1154.21,1322.92,4940.46,270.51,302.38,301.08,312.85,1186.82,815.73,859.76,843.5,852.41,3371.4,429.45,421.36,463.4,488,1802.21,609.8,616.16,626.15,632.46,2484.57,332.02,352.77,359.18,377.51,1421.49,1251.86,1359.95,1210.26,1206.74,5028.81,861.12,938.28,976.95,976.02,3752.36,296.44,309.83,305.55,322.56,1234.39,126.92,145.66,140.82,149.1,562.49,13654.25,14602.95,14167.96,14641.65,57066.81
