Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[Seri 2010] PDRB Triwulanan Atas Dasar Harga Konstan Menurut Lapangan Usaha di Provinsi Seluruh Indonesia (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"A Pertanian, Kehutanan dan Perikanan",,,,,B Pertambangan dan Penggalian,,,,,C Industri Pengolahan,,,,,D Pengadaan Listrik dan Gas,,,,,"E Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",,,,,F Konstruksi,,,,,"G Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,H Transportasi dan Pergudangan,,,,,I Penyediaan Akomodasi dan Makan Minum,,,,,J Informasi dan Komunikasi,,,,,K Jasa Keuangan dan Asuransi,,,,,L Real Estate,,,,,"M,N Jasa Perusahaan",,,,,"O Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",,,,,P Jasa Pendidikan,,,,,Q Jasa Kesehatan dan Kegiatan Sosial,,,,,"R,S,T,U Jasa Lainnya",,,,,Produk Domestik Regional Bruto,,,,
,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,,2024,,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Tahunan
Aceh,10485.6,9830.84,10067.37,11737.57,42121.37,2615.19,3008.89,2906.89,2952.28,11483.25,1560.83,1622.43,1661.34,1714.59,6559.19,60.71,63.59,64.23,63.16,251.69,14.85,14.25,15.07,15.37,59.54,3274.07,3470.06,3776.18,4112.77,14633.07,5834.26,5836.4,5915.14,6265.77,23851.56,2589.19,2875.3,2949.51,2939.13,11353.14,545.87,554.43,592.95,589.31,2282.56,1636.24,1653.05,1703.48,1636.87,6629.65,559.22,569.18,591.34,567.46,2287.2,1555.76,1556.64,1622.84,1588.28,6323.52,239.38,239.4,251.23,240.85,970.86,3031.81,3483.25,3326.29,3494.12,13335.48,988.83,1042.69,1040.19,1007.74,4079.45,1133.92,1278.57,1375.99,1325.77,5114.25,574.17,625.78,641.15,603.62,2444.72,36699.9,37724.76,38501.18,40854.65,153780.49
Sumatera Utara,38680.18,39619.78,40432.14,40208.52,158940.63,1907.03,1950.67,1975.7,1978.89,7812.28,26048.91,27006.58,27790.13,27255.84,108101.46,211.44,218.15,221.12,216.6,867.32,147.13,148.14,151.62,151.59,598.49,19159.57,19408.13,20175.31,21009.78,79752.79,28096.84,28810.85,29829.53,29328.18,116065.4,7064.38,7220.46,7404.1,7764.18,29453.12,3698.53,3796.59,4025.06,4221.02,15741.2,5236.14,5309.85,5484.63,5631.07,21661.7,4488.55,4593.58,4581.87,4558.69,18222.68,6599.23,6684.36,6882.25,6811.36,26977.2,1406.01,1430.48,1459.24,1451.79,5747.52,4551.52,5354.31,4562.95,5037.95,19506.72,3317.62,3415.49,3448.4,3452.72,13634.23,1398.13,1494.04,1525.5,1554.94,5972.61,804.9,854.08,901.95,918.45,3479.39,152816.1,157315.56,160851.48,161551.59,632534.73
Sumatera Barat,10403.05,10456.93,10570.26,11037.49,42467.74,1855.43,1861.76,1947.42,1993.42,7658.03,4394.43,4430.7,4565.05,4503.87,17894.04,47.5,49.43,49.63,50.26,196.82,48.37,48.44,48.78,49.23,194.8,4400.47,4489.02,4678.16,4817,18384.65,8129.6,8251.17,8448.04,8570.89,33399.7,5175.34,5412.24,5326.93,5333.78,21248.29,568.1,592.65,583.52,568.1,2312.37,4445.78,4529.29,4528.25,4547.62,18050.93,1491.67,1497.24,1518.47,1469.45,5976.83,1008.42,1008.78,1050.15,1064.84,4132.19,222.31,216.66,226.88,229.18,895.04,2805.35,3053.72,2567.98,2775.14,11202.19,1987.88,2028.32,2028.55,2099.12,8143.87,819.2,800.94,863.15,909.1,3392.38,912.99,1022.75,967.11,967.24,3870.09,48715.91,49750.03,49968.3,50985.73,199419.96
Riau,36692.52,37678.15,40006.17,38321.56,152698.39,20651.88,19880.53,20338.6,20149.05,81020.06,44690.44,44540.27,46519.63,47105.89,182856.22,111.4,116.22,121.43,129.4,478.45,19.69,19.75,20.2,20.71,80.34,12261.15,12304.28,13873.47,13498.65,51937.54,14213.1,15455.77,13952.44,15381.57,59002.87,991.48,1261.73,1132.97,1195.37,4581.54,651.51,682.62,668.58,763.45,2766.17,1691.57,1734.34,1809.67,1822.22,7057.79,1401.61,1418.2,1442.47,1300.84,5563.13,1306.9,1319.44,1434.92,1450.5,5511.75,7.42,7.52,6.88,8.07,29.88,2400.04,2791.72,2370.97,2675.97,10238.71,681.99,736.28,793.09,797.39,3008.75,365.05,375.16,410.08,391.43,1541.73,737.02,748.17,628.94,746.11,2860.25,138874.77,141070.14,145530.51,145758.17,571233.59
Jambi,11149.04,11896.76,12151.84,12445.37,47643,9292.05,9427.76,9707.6,9736.47,38163.88,4223.79,4395.61,4583.19,4489.22,17691.8,27.32,29.88,30.13,29.81,117.13,54.83,56.48,57.04,56.23,224.57,3222.05,3463.06,3673.96,3775.96,14135.03,4347.94,4553.23,4723.57,4689.91,18314.65,1446.07,1475.52,1560.49,1598.55,6080.64,538.9,546.29,555.85,559.9,2200.93,1858.61,1920.16,1970.4,1937.49,7686.67,943.18,943.1,971.96,919.94,3778.18,637.44,641.31,652.21,655.76,2586.73,544.24,572.6,576.43,576.06,2269.33,1293.22,1562.46,1319.17,1447.05,5621.9,1305.65,1542.45,1545.38,1525.11,5918.6,612.25,622.23,637.36,637.36,2509.21,470,478.86,467.8,509.53,1926.19,41966.57,44127.75,45184.4,45589.72,176868.44
Sumatera Selatan,14690.57,15396.59,15751.69,13716.44,59555.28,19618.57,21179.49,22909.12,21717.25,85424.44,16897.94,17119.25,17208.31,17516.27,68741.77,112.05,119.8,123.73,124.53,480.12,93.06,92.98,93.92,96.61,376.57,10046.35,10081.71,10146.24,10447.23,40721.53,10687.75,11003.72,11288.82,11534.64,44514.93,1778.02,1880.3,1860.11,1894.57,7412.99,1504.48,1623.74,1624.55,1714.59,6467.36,3920.89,4051.85,4057.93,4178.85,16209.52,2163.29,2158.99,2262.08,2087.98,8672.33,3115.25,3175.06,3216.08,3322.86,12829.26,96.57,97.72,99.95,103.64,397.88,2702.02,3317.43,2989.67,3059.64,12068.77,2228.19,2381.05,2382.24,2619.98,9611.46,636.46,660.4,661.45,724.42,2682.72,724.2,733.32,742.58,752.59,2952.69,91015.66,95073.4,97418.48,95612.1,379119.63
Bengkulu,3459.13,3767.1,3526.34,3588.7,14341.27,470.32,346.65,436.35,508.2,1761.52,700.36,755.69,746.28,756.67,2959,15.35,15.68,15.41,15.64,62.08,28.18,30.89,29.92,30.02,119.01,590.84,608.5,651.34,651.08,2501.77,1958.06,2130.25,2095.25,2205.37,8388.93,1105.94,1268.9,1110.97,1243.03,4728.85,248.18,268.73,272.26,274.31,1063.48,748.92,785.69,778.62,788.75,3101.98,412.95,407.99,433.51,392.16,1646.62,572.73,578.17,601.01,605.76,2357.68,318,324.13,333.74,343.54,1319.41,1216.52,1333.59,1184.39,1210.78,4945.28,791.79,868.38,910.58,928.28,3499.04,270.64,289.03,294.79,295.31,1149.78,116.3,128.94,129.47,134.24,508.95,13024.24,13908.32,13550.24,13971.85,54454.65
