price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Kalimantan Timur,2025,Q4,2025Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",17843.47
ADHB,Kalimantan Timur,2025,Q4,2025Q4,H,Transportasi dan Pergudangan,10996.12
ADHB,Kalimantan Timur,2025,Q4,2025Q4,I,Penyediaan Akomodasi dan Makan Minum,3025.92
ADHB,Kalimantan Timur,2025,Q4,2025Q4,J,Informasi dan Komunikasi,3843.02
ADHB,Kalimantan Timur,2025,Q4,2025Q4,K,Jasa Keuangan dan Asuransi,4214.81
ADHB,Kalimantan Timur,2025,Q4,2025Q4,L,Real Estate,2029.15
ADHB,Kalimantan Timur,2025,Q4,2025Q4,MN,Jasa Perusahaan,580.21
ADHB,Kalimantan Timur,2025,Q4,2025Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",5588.74
ADHB,Kalimantan Timur,2025,Q4,2025Q4,P,Jasa Pendidikan,4531.27
ADHB,Kalimantan Timur,2025,Q4,2025Q4,PDRB,Produk Domestik Regional Bruto,230600.37
ADHB,Kalimantan Timur,2025,Q4,2025Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,2386.92
ADHB,Kalimantan Timur,2025,Q4,2025Q4,RSTU,Jasa Lainnya,2093.19
ADHB,Kalimantan Timur,2026,Q1,2026Q1,A,"Pertanian, Kehutanan dan Perikanan",21739.68
ADHB,Kalimantan Timur,2026,Q1,2026Q1,B,Pertambangan dan Penggalian,76632.78
ADHB,Kalimantan Timur,2026,Q1,2026Q1,C,Industri Pengolahan,44417.42
ADHB,Kalimantan Timur,2026,Q1,2026Q1,D,Pengadaan Listrik dan Gas,165.96
ADHB,Kalimantan Timur,2026,Q1,2026Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",141.18
ADHB,Kalimantan Timur,2026,Q1,2026Q1,F,Konstruksi,26691.68
ADHB,Kalimantan Timur,2026,Q1,2026Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",19441.44
ADHB,Kalimantan Timur,2026,Q1,2026Q1,H,Transportasi dan Pergudangan,11596.72
ADHB,Kalimantan Timur,2026,Q1,2026Q1,I,Penyediaan Akomodasi dan Makan Minum,3084.8
ADHB,Kalimantan Timur,2026,Q1,2026Q1,J,Informasi dan Komunikasi,3922.47
ADHB,Kalimantan Timur,2026,Q1,2026Q1,K,Jasa Keuangan dan Asuransi,4227.48
ADHB,Kalimantan Timur,2026,Q1,2026Q1,L,Real Estate,2068.81
ADHB,Kalimantan Timur,2026,Q1,2026Q1,MN,Jasa Perusahaan,554.43
ADHB,Kalimantan Timur,2026,Q1,2026Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",5362.34
ADHB,Kalimantan Timur,2026,Q1,2026Q1,P,Jasa Pendidikan,4525.0
ADHB,Kalimantan Timur,2026,Q1,2026Q1,PDRB,Produk Domestik Regional Bruto,229078.14
ADHB,Kalimantan Timur,2026,Q1,2026Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,2397.16
ADHB,Kalimantan Timur,2026,Q1,2026Q1,RSTU,Jasa Lainnya,2108.77
ADHB,Kalimantan Utara,2020,Q1,2020Q1,A,"Pertanian, Kehutanan dan Perikanan",4106.44
ADHB,Kalimantan Utara,2020,Q1,2020Q1,B,Pertambangan dan Penggalian,6763.35
ADHB,Kalimantan Utara,2020,Q1,2020Q1,C,Industri Pengolahan,2313.88
ADHB,Kalimantan Utara,2020,Q1,2020Q1,D,Pengadaan Listrik dan Gas,13.57
ADHB,Kalimantan Utara,2020,Q1,2020Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.83
ADHB,Kalimantan Utara,2020,Q1,2020Q1,F,Konstruksi,3485.01
ADHB,Kalimantan Utara,2020,Q1,2020Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",3001.94
ADHB,Kalimantan Utara,2020,Q1,2020Q1,H,Transportasi dan Pergudangan,1786.91
ADHB,Kalimantan Utara,2020,Q1,2020Q1,I,Penyediaan Akomodasi dan Makan Minum,414.21
ADHB,Kalimantan Utara,2020,Q1,2020Q1,J,Informasi dan Komunikasi,613.44
ADHB,Kalimantan Utara,2020,Q1,2020Q1,K,Jasa Keuangan dan Asuransi,278.69
ADHB,Kalimantan Utara,2020,Q1,2020Q1,L,Real Estate,189.77
ADHB,Kalimantan Utara,2020,Q1,2020Q1,MN,Jasa Perusahaan,56.41
ADHB,Kalimantan Utara,2020,Q1,2020Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1160.95
